seed,object,action,world_condition,method,trajectory_rmse_m,relative_intervention_rmse,ade_m,fde_m,early_rmse_m,middle_rmse_m,late_rmse_m,direction_error_deg,gross_failure,coverage,coverage_error,mean_interval_width_m,nees,gaussian_nll
1,rope,diagonal_hook,matched_contact,physics_only,0.003536392072293107,0.18847576584570724,0.0029252263162619103,0.006435535681398608,0.0008058544243666708,0.0035953103897779894,0.0049576111680958755,7.999999999999935,False,0.8520408163265306,0.04795918367346941,0.007183536149841723,2.1512570533891795,-4.13988187277388
1,rope,diagonal_hook,matched_contact,hybrid,0.003536392072293107,0.18847576584570724,0.0029252263162619103,0.006435535681398608,0.0008058544243666708,0.0035953103897779894,0.0049576111680958755,7.999999999999935,False,0.8520408163265306,0.04795918367346941,0.007183536149841723,2.1512570533891795,-4.13988187277388
1,rope,diagonal_hook,shifted_contact,generative_only,0.020749632422321272,1.801242291146491,0.020586661140312077,0.051410064316309796,0.0026035418778042226,0.01656802896199599,0.03228894159782162,94.21044096232278,True,0.9961734693877551,0.09617346938775506,0.07803278624231041,0.36308247176465186,-2.772511189641404
1,rope,diagonal_hook,shifted_contact,physics_only,0.007326054038672257,0.635962994095525,0.005723725394979506,0.008206546555448,0.003522250929798984,0.009600680455821482,0.007522458137783137,8.018997441131868,False,0.7181122448979592,0.1818877551020408,0.007183536149841723,9.577302043228276,-0.4268593778543319
1,rope,diagonal_hook,shifted_contact,hybrid,0.007326054038672257,0.635962994095525,0.005723725394979506,0.008206546555448,0.003522250929798984,0.009600680455821482,0.007522458137783137,8.018997441131868,False,0.7181122448979592,0.1818877551020408,0.007183536149841723,9.577302043228276,-0.4268593778543319
1,cloth,diagonal_hook,matched_contact,generative_only,0.010406017319068102,1.3803675052361575,0.011168048547637713,0.027625733757513617,0.0025025559957389453,0.008945170524350203,0.015678493087129465,87.9912201096314,False,0.9861111111111112,0.08611111111111114,0.05391887599575824,0.3585681570340921,-3.0388480791082517
1,cloth,diagonal_hook,matched_contact,physics_only,0.0013590345834244527,0.18027715310580247,0.0014159638613345223,0.003253738934898392,0.00035860618267744644,0.0012568993847207612,0.0019856583745433342,7.999999999999935,False,0.9940476190476191,0.09404761904761905,0.007225428538319778,0.3470003650886441,-5.034491775222936
1,cloth,diagonal_hook,matched_contact,hybrid,0.0013590345834244527,0.18027715310580247,0.0014159638613345223,0.003253738934898392,0.00035860618267744644,0.0012568993847207612,0.0019856583745433342,7.999999999999935,False,0.9940476190476191,0.09404761904761905,0.007225428538319778,0.3470003650886441,-5.034491775222936
1,cloth,diagonal_hook,shifted_contact,generative_only,0.008542629410957268,1.7322911570508277,0.009112977797111519,0.02441856988747472,0.0014323343554814643,0.006349762750781135,0.013502334491405582,88.00803416861497,False,0.998015873015873,0.098015873015873,0.05391887599575824,0.23277257182574446,-3.1017458717124256
1,cloth,diagonal_hook,shifted_contact,physics_only,0.0027116572494041012,0.5498751787207772,0.002489762752889648,0.0039290078445020716,0.0016956997159430945,0.0035170481007886162,0.0026046677076769303,8.016814058983565,False,0.8878968253968254,0.012103174603174671,0.007225428538319778,1.2064562161416823,-4.604763849696416
1,cloth,diagonal_hook,shifted_contact,hybrid,0.0027116572494041012,0.5498751787207772,0.002489762752889648,0.0039290078445020716,0.0016956997159430945,0.0035170481007886162,0.0026046677076769303,8.016814058983565,False,0.8878968253968254,0.012103174603174671,0.007225428538319778,1.2064562161416823,-4.604763849696416
1,soft_block,diagonal_hook,matched_contact,generative_only,0.011820533156360795,1.2881761788648105,0.012967145109473931,0.02938947564274604,0.0027059915358744976,0.010442498928238564,0.017659754815404625,96.14467907396218,False,0.9888392857142857,0.08883928571428568,0.057581949101076536,0.3927881377181879,-2.966617957433255
1,soft_block,diagonal_hook,matched_contact,physics_only,0.0015936115947404958,0.1736683504502333,0.0016731942731691954,0.0037920931513911525,0.00038821283080786817,0.0014818656658663126,0.002328941309480045,7.999999999999889,False,0.9665178571428571,0.06651785714285707,0.007258498916477728,0.476570813365143,-4.964873011044033
1,soft_block,diagonal_hook,matched_contact,hybrid,0.0015936115947404958,0.1736683504502333,0.0016731942731691954,0.0037920931513911525,0.00038821283080786817,0.0014818656658663126,0.002328941309480045,7.999999999999889,False,0.9665178571428571,0.06651785714285707,0.007258498916477728,0.476570813365143,-4.964873011044033
1,soft_block,diagonal_hook,shifted_contact,generative_only,0.009223612794503561,1.5384521746916102,0.010138156469464381,0.024544563428231476,0.001700697712251032,0.007123631869688907,0.014424266352037349,96.16265309545555,False,0.9966517857142857,0.09665178571428568,0.057581949101076536,0.23069688306419578,-3.0476635847602513
1,soft_block,diagonal_hook,shifted_contact,physics_only,0.003051704762845016,0.5090089895917352,0.002972244447279133,0.0049093878840983825,0.0018551550633596763,0.003749772628502899,0.0032401732062669153,8.017974021493313,False,0.8180803571428571,0.08191964285714293,0.007258498916477728,1.6402507510882829,-4.383033042182463
1,soft_block,diagonal_hook,shifted_contact,hybrid,0.003051704762845016,0.5090089895917352,0.002972244447279133,0.0049093878840983825,0.0018551550633596763,0.003749772628502899,0.0032401732062669153,8.017974021493313,False,0.8180803571428571,0.08191964285714293,0.007258498916477728,1.6402507510882829,-4.383033042182463
2,rope,diagonal_hook,matched_contact,generative_only,0.02679641205118482,1.428143197931476,0.025449575884464923,0.06065847424564487,0.00499555932288504,0.024329963382460643,0.039783804104238055,93.80772589917558,True,0.9617346938775511,0.06173469387755104,0.0782470527464932,0.6067601784618069,-2.6431875336689092
2,rope,diagonal_hook,matched_contact,physics_only,0.0035244153903036,0.18783745587777456,0.002917629643285787,0.006427012419517865,0.0008049038481967753,0.0035818877177291584,0.004941469689795057,8.000000000000025,False,0.8520408163265306,0.04795918367346941,0.007231920496678161,2.0926548121280506,-4.163541834757229
2,rope,diagonal_hook,matched_contact,hybrid,0.0035244153903036,0.18783745587777456,0.002917629643285787,0.006427012419517865,0.0008049038481967753,0.0035818877177291584,0.004941469689795057,8.000000000000025,False,0.8520408163265306,0.04795918367346941,0.007231920496678161,2.0926548121280506,-4.163541834757229
2,rope,diagonal_hook,shifted_contact,generative_only,0.020807363942454738,1.8062538717605507,0.020633005535942734,0.051535877751438655,0.00258389265026878,0.016625359850965273,0.032374969189559816,93.82672334030757,True,0.9948979591836735,0.0948979591836735,0.0782470527464932,0.36189149708862894,-2.7656218743554977
2,rope,diagonal_hook,shifted_contact,physics_only,0.007349550449244259,0.6380026797897596,0.005739080508793847,0.00825445590478286,0.003521556964290777,0.00962817729310883,0.0075569316001561585,8.018997441132004,False,0.7168367346938775,0.18316326530612248,0.007231920496678161,9.493076914264783,-0.46333078368886255
2,rope,diagonal_hook,shifted_contact,hybrid,0.007349550449244259,0.6380026797897596,0.005739080508793847,0.00825445590478286,0.003521556964290777,0.00962817729310883,0.0075569316001561585,8.018997441132004,False,0.7168367346938775,0.18316326530612248,0.007231920496678161,9.493076914264783,-0.46333078368886255
