seed,object,parameter,truth,posterior_mean,absolute_error,relative_absolute_error,interval_lower,interval_upper,interval_width,covered,crps,posterior_effective_sample_size,posterior_normalized_entropy,posterior_max_abs_parameter_correlation,posterior_particles_above_uniform
1,cloth,contact_gain,0.78,0.6848727544428932,0.09512724555710683,0.12195800712449593,0.5459999999999999,0.78,0.2340000000000001,True,0.061160224612103554,39.10435729162592,0.810676123647673,0.3285948195070896,42
1,soft_block,stiffness,10.6,10.86104888664943,0.26104888664943005,0.024627253457493403,8.479999999999999,14.839999999999998,6.359999999999999,True,0.3961813297791337,25.95952238006228,0.7299288610025729,0.5615711448965846,30
1,soft_block,damping,1.08,1.1258778525861683,0.04587785258616828,0.042479493135340995,0.486,1.6740000000000002,1.1880000000000002,True,0.11489730364195777,25.95952238006228,0.7299288610025729,0.5615711448965846,30
1,soft_block,contact_gain,1.06,0.9422335301174689,0.11776646988253114,0.11110044328540673,0.901,1.06,0.15900000000000003,True,0.07797810699157581,25.95952238006228,0.7299288610025729,0.5615711448965846,30
2,rope,stiffness,8.5,7.94821519485744,0.5517848051425602,0.0649158594285365,6.8,8.5,1.7000000000000002,True,0.24671333415208857,7.63842292188886,0.46627984239603737,0.5550893032303976,10
2,rope,damping,0.62,0.6362039622786844,0.01620396227868437,0.02613542303013608,0.27899999999999997,0.961,0.6819999999999999,True,0.07103609600076335,7.63842292188886,0.46627984239603737,0.5550893032303976,10
2,rope,contact_gain,0.92,0.7870770649491412,0.13292293505085884,0.14448145114223787,0.782,0.782,0.0,False,0.12757430308448642,7.63842292188886,0.46627984239603737,0.5550893032303976,10
2,cloth,stiffness,6.4,6.406704758534537,0.006704758534536559,0.0010476185210213373,3.84,8.959999999999999,5.119999999999999,True,0.2885641050972507,38.89309594234576,0.8097016940599665,0.33405463824240844,41
2,cloth,damping,0.84,0.8787991512063756,0.03879915120637567,0.0461894657218758,0.37799999999999995,1.302,0.9240000000000002,True,0.08907330030703164,38.89309594234576,0.8097016940599665,0.33405463824240844,41
2,cloth,contact_gain,0.78,0.6903014097942679,0.08969859020573212,0.11499819257145143,0.5459999999999999,0.78,0.2340000000000001,True,0.05605520633109201,38.89309594234576,0.8097016940599665,0.33405463824240844,41
2,soft_block,stiffness,10.6,10.604304093778117,0.004304093778117135,0.00040604658284123916,8.479999999999999,14.839999999999998,6.359999999999999,True,0.38189337004852497,25.28911460901142,0.7260438084613777,0.5710719827226989,30
2,soft_block,damping,1.08,1.1133468026633337,0.033346802663333674,0.030876669132716365,0.486,1.6740000000000002,1.1880000000000002,True,0.11355012241397788,25.28911460901142,0.7260438084613777,0.5710719827226989,30
2,soft_block,contact_gain,1.06,0.9418703226016862,0.11812967739831381,0.11144309188520171,0.901,1.06,0.15900000000000003,True,0.07837542888443441,25.28911460901142,0.7260438084613777,0.5710719827226989,30
3,rope,stiffness,8.5,8.038557482338723,0.4614425176612773,0.054287355018973804,6.8,10.2,3.3999999999999995,True,0.21047552008965065,7.8401660789825325,0.4749552308401529,0.6125821786797438,11
3,rope,damping,0.62,0.6316765784111252,0.011676578411125238,0.01883319098568587,0.27899999999999997,0.961,0.6819999999999999,True,0.07035771063279853,7.8401660789825325,0.4749552308401529,0.6125821786797438,11
3,rope,contact_gain,0.92,0.7891303607452714,0.1308696392547286,0.14224960788557456,0.782,0.92,0.138,True,0.12378236638764571,7.8401660789825325,0.4749552308401529,0.6125821786797438,11
3,cloth,stiffness,6.4,6.449402648313381,0.04940264831338048,0.0077191637989657,3.84,8.959999999999999,5.119999999999999,True,0.2929778978660349,38.914436680978326,0.810474663099337,0.3308740072912183,42
3,cloth,damping,0.84,0.8847101225125463,0.04471012251254636,0.05322633632445995,0.37799999999999995,1.302,0.9240000000000002,True,0.08978459958234902,38.914436680978326,0.810474663099337,0.3308740072912183,42
3,cloth,contact_gain,0.78,0.6837501879432345,0.09624981205676553,0.12339719494457119,0.5459999999999999,0.78,0.2340000000000001,True,0.06221929573895475,38.914436680978326,0.810474663099337,0.3308740072912183,42
3,soft_block,stiffness,10.6,10.797426515811178,0.19742651581117876,0.0186251430010546,8.479999999999999,14.839999999999998,6.359999999999999,True,0.39085332423578434,25.573792599310057,0.7292016086593894,0.5620541390822279,30
3,soft_block,damping,1.08,1.1271942383652076,0.04719423836520753,0.043698368856673636,0.486,1.6740000000000002,1.1880000000000002,True,0.11507064338015285,25.573792599310057,0.7292016086593894,0.5620541390822279,30
3,soft_block,contact_gain,1.06,0.9384775512810883,0.12152244871891171,0.11464381954614312,0.742,1.06,0.31800000000000006,True,0.08213082874563671,25.573792599310057,0.7292016086593894,0.5620541390822279,30
4,rope,stiffness,8.5,7.995961853934941,0.5040381460650591,0.059298605419418726,6.8,10.2,3.3999999999999995,True,0.2378262639415294,7.834995607787706,0.4748015137267956,0.60906604548418,11
4,rope,damping,0.62,0.6328572512448775,0.012857251244877466,0.02073750200786688,0.27899999999999997,0.961,0.6819999999999999,True,0.07066302541336458,7.834995607787706,0.4748015137267956,0.60906604548418,11
4,rope,contact_gain,0.92,0.7891164849574508,0.13088351504254925,0.14226469026364047,0.782,0.92,0.138,True,0.1238123584643621,7.834995607787706,0.4748015137267956,0.60906604548418,11
4,cloth,stiffness,6.4,6.589241128864436,0.18924112886443556,0.029568926385068056,3.84,8.959999999999999,5.119999999999999,True,0.3013258318700611,39.68897982018075,0.8116026100808907,0.32821454558297775,42
4,cloth,damping,0.84,0.884887922226921,0.04488792222692106,0.0534380026510965,0.37799999999999995,1.302,0.9240000000000002,True,0.08998495244133597,39.68897982018075,0.8116026100808907,0.32821454558297775,42
4,cloth,contact_gain,0.78,0.6888506094792568,0.09114939052074322,0.11685819297531182,0.5459999999999999,0.78,0.2340000000000001,True,0.05733842529664607,39.68897982018075,0.8116026100808907,0.32821454558297775,42
4,soft_block,stiffness,10.6,10.628597166721864,0.028597166721864298,0.002697845917157009,8.479999999999999,14.839999999999998,6.359999999999999,True,0.37865345794951977,24.03305935395464,0.7249207526267614,0.5557430927054691,32
4,soft_block,damping,1.08,1.1214204739461868,0.04142047394618675,0.03835229069091366,0.486,1.6740000000000002,1.1880000000000002,True,0.11464095985405559,24.03305935395464,0.7249207526267614,0.5557430927054691,32
4,soft_block,contact_gain,1.06,0.9223719834764157,0.13762801652358436,0.12983775143734372,0.742,1.06,0.31800000000000006,True,0.1003650824350951,24.03305935395464,0.7249207526267614,0.5557430927054691,32
