panel,family,dlo,trajectory,arm,normalized_mse,rmse_mm2
all_queries,bending_statistic,DLO4,30.pkl,point_plugin,0.2914693465334433,1956.3230486968532
all_queries,bending_statistic,DLO4,35.pkl,point_plugin,0.3062506586356523,2005.3151907291171
all_queries,bending_statistic,DLO4,41.pkl,point_plugin,0.38465870219967685,2247.4079303800713
all_queries,bending_statistic,DLO4,5.pkl,point_plugin,0.24245763884805022,1784.2761227159383
all_queries,bending_statistic,DLO4,56.pkl,point_plugin,0.33642619361379933,2101.788584816436
all_queries,bending_statistic,DLO4,58.pkl,point_plugin,0.2358465865326186,1759.7822200770738
all_queries,bending_statistic,DLO4,66.pkl,point_plugin,0.47888293997054904,2507.6031740399994
all_queries,bending_statistic,DLO4,70.pkl,point_plugin,0.6268883343349123,2869.0573011507718
all_queries,bending_statistic,DLO4,81.pkl,point_plugin,0.622836876327654,2859.7711921497817
all_queries,bending_statistic,DLO4,84.pkl,point_plugin,0.23032492159455667,1739.060112059977
all_queries,bending_statistic,DLO4,93.pkl,point_plugin,0.36172891430922904,2179.3939474806225
all_queries,bending_statistic,DLO4,96.pkl,point_plugin,0.3016694349417226,1990.259854388778
all_queries,bending_statistic,DLO4,11.pkl,native_block_posterior,38.70623753713055,22544.188484503924
all_queries,bending_statistic,DLO4,16.pkl,native_block_posterior,33.07803432917075,20840.780273506374
all_queries,bending_statistic,DLO4,30.pkl,native_block_posterior,46.79122742984575,24787.135844354765
all_queries,bending_statistic,DLO4,35.pkl,native_block_posterior,44.77426280484593,24247.01884715902
all_queries,bending_statistic,DLO4,41.pkl,native_block_posterior,40.355519194804586,23019.48470072091
all_queries,bending_statistic,DLO4,5.pkl,native_block_posterior,33.76753504417823,21056.86959893251
all_queries,bending_statistic,DLO4,56.pkl,native_block_posterior,36.3430342922294,21845.13434703163
all_queries,bending_statistic,DLO4,58.pkl,native_block_posterior,44.030707804367324,24044.84387252766
all_queries,bending_statistic,DLO4,66.pkl,native_block_posterior,46.438715232867814,24693.589602232823
all_queries,bending_statistic,DLO4,70.pkl,native_block_posterior,42.43381082583583,23604.79026587345
all_queries,bending_statistic,DLO4,81.pkl,native_block_posterior,35.961155813814166,21730.061172266927
all_queries,bending_statistic,DLO4,84.pkl,native_block_posterior,41.64290868318898,23383.776763308822
all_queries,bending_statistic,DLO4,93.pkl,native_block_posterior,38.054243710581396,22353.507368079136
all_queries,bending_statistic,DLO4,96.pkl,native_block_posterior,41.429974275145995,23323.915525859335
all_queries,bending_statistic,DLO4,11.pkl,source_coupled_posterior_extension,11.53384501015599,12306.404436076313
all_queries,bending_statistic,DLO4,16.pkl,source_coupled_posterior_extension,9.934804241408845,11421.516856149226
all_queries,bending_statistic,DLO4,30.pkl,source_coupled_posterior_extension,13.570571358389792,13348.829762223166
all_queries,bending_statistic,DLO4,35.pkl,source_coupled_posterior_extension,12.928075938977353,13028.999734960562
