dlo,name,base_l1_m,deterministic_l1_m,bayesian_l1_m,deterministic_to_base_ratio,deterministic_minus_bayesian_l1_m
DLO4,84.pkl,0.012685869122898066,0.011443391554666895,0.011443391554666895,0.9020581438926804,0.0
DLO4,93.pkl,0.00933167031508008,0.00845627003157899,0.00845627003157899,0.9061903974375911,0.0
DLO4,96.pkl,0.007458638602644139,0.006663884161964133,0.006663884161964133,0.8934451066715768,0.0
DLO5,18.pkl,0.004401760019149194,0.004163321881754987,0.004163321881754987,0.9458311819915403,0.0
DLO5,3.pkl,0.006266166854008935,0.00610706321087114,0.00610706321087114,0.9746090956649193,0.0
DLO5,31.pkl,0.009122173419901299,0.00892996322025503,0.00892996322025503,0.9789293416383715,0.0
DLO5,32.pkl,0.0064629921951447145,0.006114551984926357,0.006114551984926357,0.9460868588886551,0.0
DLO5,33.pkl,0.007406648947445477,0.007190300784362973,0.007190300784362973,0.9707900071114992,0.0
DLO5,46.pkl,0.026004354931981957,0.025583558457753272,0.025583558457753272,0.983818230626011,0.0
DLO5,56.pkl,0.004663646980431904,0.004589487505907362,0.004589487505907362,0.9840983944891828,0.0
DLO5,58.pkl,0.005515845619442938,0.005247461701915433,0.005247461701915433,0.9513431056551924,0.0
DLO5,6.pkl,0.0051579058664031775,0.004849820060569117,0.004849820060569117,0.9402692073461779,0.0
DLO5,72.pkl,0.00904607434109406,0.008873288000960893,0.008873288000960893,0.9808993013302751,0.0
DLO5,82.pkl,0.007940116028198769,0.007770737082509126,0.007770737082509126,0.9786679508097734,0.0
DLO5,85.pkl,0.007920239468565187,0.007773323990327868,0.007773323990327868,0.9814506267366769,0.0
DLO5,9.pkl,0.005109768887397462,0.0049371724550757055,0.0049371724550757055,0.9662222624691614,0.0
DLO5,99.pkl,0.007683437416518655,0.007445223821062403,0.007445223821062403,0.9689964813217433,0.0
