schema,group_id,scenario,method_id,solver_admissible,solver_reason,risk_score,guard_threshold,guard_accepted,exact_fallback,baseline_rmse_m,raw_rmse_m,deployed_rmse_m,raw_harmful,harmful_accepted,raw_improvement_fraction,deployed_improvement_fraction,coverage_90,predictive_width_rms_m,nominal_probability,identifiable_fraction,query_sensitivity_fraction,fixed_point_converged
bayesian-phystwin-prob4d-controlled-decisive-trial,target-nominal_correlated-318420842,nominal_correlated,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.008020848441902775,0.008020848441902775,0.008020848441902775,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-nominal_correlated-318420843,nominal_correlated,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.0067555980064415285,0.0067555980064415285,0.0067555980064415285,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-nominal_correlated-318420844,nominal_correlated,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.007189264568316358,0.007189264568316358,0.007189264568316358,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-nominal_correlated-318420845,nominal_correlated,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.007879015720960681,0.007879015720960681,0.007879015720960681,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-nominal_correlated-318420846,nominal_correlated,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.009072618011926355,0.009072618011926355,0.009072618011926355,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-nominal_correlated-318420847,nominal_correlated,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.005209733742007863,0.005209733742007863,0.005209733742007863,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-nominal_correlated-318420848,nominal_correlated,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.005187469140182476,0.005187469140182476,0.005187469140182476,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-nominal_correlated-318420849,nominal_correlated,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.005456036487691015,0.005456036487691015,0.005456036487691015,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-nominal_correlated-318420850,nominal_correlated,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.0056243790137171425,0.0056243790137171425,0.0056243790137171425,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-nominal_correlated-318420851,nominal_correlated,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.010289740879883203,0.010289740879883203,0.010289740879883203,False,False,0.0,0.0,,,1.0,0.0,0.0,True
